Variable,Valor,Costo Reducido
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 1, 2)",1100000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 1, 3)",1350000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 2, 1)",200000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 2, 2)",120000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 2, 3)",110000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 3, 1)",150000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 3, 2)",200000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 3, 3)",0.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 4, 1)",70000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 4, 2)",90000.0,0.0
"CAPACIDAD_MAXIMA_PROD_AGRUPADOS( 4, 3)",0.0,0.0
